fecha_solicitud,pedido,categoria,producto,motivo,importe_reembolsado,dias_resolucion
2026-01-21,MER-100277,Hogar,Silla ergonómica de oficina,Producto defectuoso,10980,3
2026-01-25,MER-100157,Hogar,Lámpara de escritorio LED,Talla incorrecta,1780,7
2026-02-03,MER-100189,Accesorios,Funda protectora para laptop,Producto defectuoso,1470,5
2026-02-11,MER-100296,Ropa,Chamarra ligera impermeable,Dañado en tránsito,3380,3
2026-02-12,MER-100211,Electrónica,Audífonos con cancelación de ruido,Producto equivocado,3990,5
2026-03-01,MER-100315,Accesorios,Funda protectora para laptop,Producto defectuoso,490,5
2026-03-06,MER-100007,Accesorios,Mochila para laptop impermeable,Producto equivocado,2580,12
2026-03-06,MER-100143,Accesorios,Mochila para laptop impermeable,Talla incorrecta,1290,4
2026-03-08,MER-100373,Hogar,Lámpara de escritorio LED,Dañado en tránsito,1780,12
2026-03-12,MER-100253,Hogar,Silla ergonómica de oficina,Producto defectuoso,10980,8
2026-03-17,MER-100097,Ropa,Sudadera con capucha,Producto defectuoso,1798,9
2026-03-23,MER-100314,Hogar,Silla ergonómica de oficina,Producto defectuoso,10980,10
2026-03-26,MER-100129,Electrónica,Audífonos con cancelación de ruido,Arrepentimiento,3990,11
2026-04-05,MER-100346,Accesorios,Cargador USB-C de 65 W,Talla incorrecta,2370,11
2026-04-12,MER-100342,Ropa,Chamarra ligera impermeable,Producto defectuoso,1690,3
2026-04-14,MER-100193,Hogar,Cafetera de goteo programable,Talla incorrecta,2980,5
2026-04-25,MER-100210,Hogar,Escritorio elevable,Producto equivocado,17980,8
2026-04-25,MER-100262,Ropa,Chamarra ligera impermeable,Dañado en tránsito,1690,9
2026-04-30,MER-100250,Hogar,Lámpara de escritorio LED,Producto equivocado,1780,8
2026-05-09,MER-100174,Hogar,Escritorio elevable,Talla incorrecta,8990,3
2026-05-10,MER-100387,Accesorios,Funda protectora para laptop,Producto defectuoso,980,4
2026-05-12,MER-100377,Ropa,Camiseta de algodón orgánico,Arrepentimiento,399,11
2026-05-17,MER-100322,Accesorios,Mochila para laptop impermeable,Producto equivocado,1290,10
2026-05-20,MER-100177,Hogar,Lámpara de escritorio LED,Producto equivocado,1780,3
2026-05-27,MER-100134,Electrónica,Laptop Meridia Pro 14,Arrepentimiento,49980,10
2026-05-29,MER-100098,Accesorios,Cargador USB-C de 65 W,Dañado en tránsito,790,11
2026-06-02,MER-100354,Electrónica,Monitor curvo 27 pulgadas,Talla incorrecta,12980,4
2026-06-04,MER-100215,Hogar,Lámpara de escritorio LED,Arrepentimiento,1780,7
2026-06-06,MER-100386,Hogar,Cafetera de goteo programable,Producto equivocado,1490,9
2026-06-06,MER-100044,Hogar,Lámpara de escritorio LED,Producto defectuoso,2670,5
2026-06-17,MER-100181,Hogar,Escritorio elevable,Arrepentimiento,8990,3
2026-06-18,MER-100139,Ropa,Sudadera con capucha,Arrepentimiento,899,12
2026-06-22,MER-100079,Accesorios,Mochila para laptop impermeable,Producto equivocado,1290,11
2026-07-01,MER-100309,Ropa,Sudadera con capucha,Arrepentimiento,899,10
2026-07-11,MER-100280,Hogar,Lámpara de escritorio LED,Producto equivocado,1780,7
