fecha,producto,categoria,region,unidades,ingreso
2015-12-01,Laptop Pro,Electrónica,Norte,45,54000
2015-12-02,Mouse Inalámbrico,Electrónica,Sur,120,3600
2015-12-03,Teclado Mecánico,Electrónica,Norte,80,9600
2015-12-04,Monitor 27 pulgadas,Electrónica,Este,30,9000
2015-12-05,Laptop Pro,Electrónica,Oeste,60,72000
2015-12-06,Silla Ergonómica,Muebles,Norte,25,6250
2015-12-07,Escritorio Ajustable,Muebles,Sur,15,4500
2015-12-08,Laptop Pro,Electrónica,Este,55,66000
2015-12-09,Monitor 27 pulgadas,Electrónica,Oeste,40,12000
2015-12-10,Mouse Inalámbrico,Electrónica,Norte,150,4500
2015-11-15,Laptop Pro,Electrónica,Norte,30,36000
2015-11-20,Mouse Inalámbrico,Electrónica,Sur,90,2700
2015-11-25,Teclado Mecánico,Electrónica,Norte,50,6000
