fecha,pedido,categoria,producto,region,canal,envio,unidades,importe,dias_entrega
2026-01-02,MER-100074,Electrónica,Laptop Meridia Pro 14,Yucatán,App móvil,Exprés,2,49980,2
2026-01-04,MER-100266,Electrónica,Teclado mecánico retroiluminado,Nuevo León,Marketplace,Estándar,1,1890,5
2026-01-05,MER-100157,Hogar,Lámpara de escritorio LED,Nuevo León,Web,Estándar,2,1780,5
2026-01-05,MER-100277,Hogar,Silla ergonómica de oficina,Nuevo León,Web,Estándar,2,10980,6
2026-01-06,MER-100075,Hogar,Silla ergonómica de oficina,Baja California,App móvil,Estándar,1,5490,5
2026-01-06,MER-100378,Hogar,Lámpara de escritorio LED,Ciudad de México,App móvil,Estándar,1,890,3
2026-01-11,MER-100102,Ropa,Chamarra ligera impermeable,Jalisco,App móvil,Estándar,1,1690,3
2026-01-15,MER-100359,Electrónica,Monitor curvo 27 pulgadas,Jalisco,App móvil,Estándar,1,6490,3
2026-01-18,MER-100086,Accesorios,Mochila para laptop impermeable,Baja California,App móvil,Estándar,1,1290,5
2026-01-19,MER-100409,Electrónica,Monitor curvo 27 pulgadas,Puebla,Marketplace,Exprés,3,19470,2
2026-01-22,MER-100184,Electrónica,Laptop Meridia Pro 14,Baja California,App móvil,Mismo día,1,24990,0
2026-01-23,MER-100148,Electrónica,Monitor curvo 27 pulgadas,Jalisco,Web,Estándar,3,19470,6
2026-01-23,MER-100375,Electrónica,Laptop Meridia Pro 14,Ciudad de México,Marketplace,Exprés,2,49980,1
2026-01-25,MER-100321,Accesorios,Funda protectora para laptop,Puebla,Marketplace,Estándar,1,490,5
2026-01-26,MER-100041,Accesorios,Cargador USB-C de 65 W,Ciudad de México,App móvil,Estándar,1,790,5
2026-01-28,MER-100022,Ropa,Sudadera con capucha,Nuevo León,App móvil,Estándar,2,1798,4
2026-01-28,MER-100211,Electrónica,Audífonos con cancelación de ruido,Nuevo León,Web,Exprés,1,3990,1
2026-01-28,MER-100408,Electrónica,Audífonos con cancelación de ruido,Puebla,Marketplace,Estándar,2,7980,4
2026-01-29,MER-100367,Electrónica,Audífonos con cancelación de ruido,Yucatán,Web,Estándar,2,7980,5
2026-01-30,MER-100067,Hogar,Silla ergonómica de oficina,Baja California,Web,Exprés,2,10980,1
2026-01-30,MER-100223,Accesorios,Funda protectora para laptop,Ciudad de México,Web,Estándar,2,980,3
2026-02-01,MER-100225,Electrónica,Monitor curvo 27 pulgadas,Yucatán,Web,Exprés,2,12980,1
2026-02-01,MER-100228,Electrónica,Audífonos con cancelación de ruido,Nuevo León,Marketplace,Exprés,1,3990,1
2026-02-01,MER-100284,Ropa,Chamarra ligera impermeable,Baja California,Marketplace,Estándar,2,3380,4
2026-02-02,MER-100189,Accesorios,Funda protectora para laptop,Puebla,Marketplace,Mismo día,3,1470,0
2026-02-02,MER-100293,Electrónica,Audífonos con cancelación de ruido,Puebla,Web,Estándar,3,11970,5
2026-02-02,MER-100349,Hogar,Silla ergonómica de oficina,Jalisco,Marketplace,Estándar,2,10980,3
2026-02-03,MER-100296,Ropa,Chamarra ligera impermeable,Nuevo León,Web,Estándar,2,3380,3
2026-02-05,MER-100093,Hogar,Lámpara de escritorio LED,Nuevo León,App móvil,Estándar,1,890,3
2026-02-08,MER-100110,Electrónica,Teclado mecánico retroiluminado,Yucatán,Web,Exprés,1,1890,1
2026-02-11,MER-100012,Hogar,Escritorio elevable,Nuevo León,Marketplace,Exprés,1,8990,2
2026-02-11,MER-100315,Accesorios,Funda protectora para laptop,Ciudad de México,Marketplace,Exprés,1,490,1
2026-02-11,MER-100335,Ropa,Camiseta de algodón orgánico,Yucatán,Marketplace,Exprés,3,1197,2
2026-02-12,MER-100200,Hogar,Lámpara de escritorio LED,Jalisco,Web,Estándar,1,890,4
2026-02-13,MER-100373,Hogar,Lámpara de escritorio LED,Puebla,Web,Estándar,2,1780,6
2026-02-14,MER-100269,Hogar,Cafetera de goteo programable,Jalisco,Marketplace,Exprés,1,1490,1
2026-02-15,MER-100020,Accesorios,Funda protectora para laptop,Nuevo León,App móvil,Estándar,2,980,3
2026-02-15,MER-100119,Electrónica,Teclado mecánico retroiluminado,Jalisco,Web,Estándar,1,1890,5
2026-02-15,MER-100398,Electrónica,Teclado mecánico retroiluminado,Puebla,Web,Estándar,1,1890,3
2026-02-16,MER-100297,Hogar,Escritorio elevable,Jalisco,App móvil,Estándar,2,17980,6
2026-02-16,MER-100353,Hogar,Cafetera de goteo programable,Jalisco,App móvil,Exprés,1,1490,2
2026-02-17,MER-100158,Ropa,Chamarra ligera impermeable,Yucatán,Web,Estándar,1,1690,3
